timestamp,temperature,pressure,fps,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,roll,pitch,yaw
20884.0,30.0,0.0,1000.0,-0.595,-0.668,-0.347,-0.78,6.41,-5.98,24.58,58.09,-3.62,124.93,-47.67,12.43
20934.0,30.0,0.0,1000.0,-0.556,-0.711,-0.37,-1.86,0.97,21.52,24.11,57.36,-3.31,125.36,-46.8,12.32
20984.0,30.0,0.0,1000.0,-0.57,-0.702,-0.418,-0.15,16.91,42.4,23.99,56.75,-3.44,124.81,-45.43,11.06
21034.0,30.0,0.0,1000.0,-0.53,-0.647,-0.399,-25.16,53.11,43.23,22.63,55.52,-2.83,126.35,-42.81,10.27
21084.0,30.0,0.0,1000.0,-0.675,-0.562,-0.44,-3.29,1.39,8.53,20.77,52.98,-2.71,127.52,-40.63,10.12
21134.0,30.0,0.0,1000.0,-0.564,-0.576,-0.51,-13.92,8.08,-15.44,22.21,53.13,-2.31,126.77,-41.85,11.52
21184.0,30.0,0.0,1000.0,-0.625,-0.666,-0.494,0.04,9.51,9.02,22.45,53.28,-1.95,126.79,-41.69,11.22
21234.0,30.0,0.0,1000.0,-0.597,-0.7,-0.404,17.12,-30.39,3.88,22.61,53.25,-2.42,125.37,-41.89,10.1
21284.0,30.0,0.0,1000.0,-0.627,-0.691,-0.432,4.33,5.05,-5.22,23.97,54.59,-2.89,123.56,-42.36,8.73
21334.0,30.0,0.0,1000.0,-0.583,-0.65,-0.357,57.24,-29.33,13.81,23.65,55.1,-2.82,122.93,-43.04,7.89
21384.0,30.0,0.0,1000.0,-0.636,-0.718,-0.345,58.02,-4.86,9.28,25.33,58.48,-4.22,117.9,-44.2,3.11
21434.0,30.0,0.0,1000.0,-0.548,-0.677,-0.21,109.63,-34.23,23.21,25.17,60.94,-4.38,114.85,-45.15,-1.05
21484.0,30.0,0.0,1000.0,-0.714,-0.779,-0.274,3.26,-8.33,-15.6,26.0,62.97,-5.47,112.98,-45.1,-2.94
21534.0,30.0,0.0,1000.0,-0.638,-0.709,-0.269,2.45,7.67,-34.8,25.93,63.43,-6.11,112.88,-46.3,-2.87
21584.0,30.0,0.0,1000.0,-0.609,-0.759,-0.279,-1.58,12.66,-20.13,25.31,63.75,-5.72,114.28,-47.56,-1.93
21634.0,30.0,0.0,1000.0,-0.585,-0.797,-0.281,18.58,21.84,-77.79,24.54,64.83,-6.02,114.99,-50.1,-1.86
21684.0,30.0,0.0,1000.0,-0.575,-0.889,-0.275,13.34,53.06,-90.88,22.38,67.11,-6.51,118.06,-54.05,-0.44
21734.0,30.0,0.0,1000.0,-0.413,-0.826,-0.255,30.61,30.45,-118.25,18.28,69.78,-6.5,123.22,-59.29,2.92
21784.0,30.0,0.0,1000.0,-0.373,-0.853,-0.192,-31.53,33.59,-91.96,15.14,71.49,-6.54,131.19,-63.35,10.4
21834.0,30.0,0.0,1000.0,-0.233,-0.923,-0.373,-15.8,7.45,-15.25,12.79,70.9,-6.35,137.0,-63.92,15.78
21884.0,30.0,0.0,1000.0,-0.359,-0.938,-0.34,-74.1,-21.37,-44.17,12.44,69.65,-5.94,141.75,-63.18,21.34
21934.0,30.0,0.0,1000.0,-0.225,-0.846,-0.361,-7.04,-21.1,-0.31,12.38,67.76,-4.95,145.09,-62.82,25.66
21984.0,30.0,0.0,1000.0,-0.22,-0.875,-0.426,-73.8,-33.14,-29.1,14.05,66.85,-4.17,146.94,-61.49,30.01
22034.0,30.0,0.0,1000.0,-0.346,-0.525,-0.112,24.59,-62.57,58.16,18.02,66.03,-3.91,141.77,-58.96,28.36
22084.0,30.0,0.0,1000.0,-0.422,-0.999,-0.484,-84.36,-61.07,50.35,22.26,61.16,-2.87,134.72,-53.13,24.36
22134.0,30.0,0.0,1000.0,-0.423,-0.726,-0.429,1.53,0.57,26.54,25.02,59.41,-2.53,133.02,-53.06,24.42
22184.0,30.0,0.0,1000.0,-0.452,-0.794,-0.521,-15.21,-52.11,18.56,25.48,58.44,-2.51,131.53,-51.93,23.67
22234.0,30.0,0.0,1000.0,-0.419,-0.696,-0.399,1.07,-2.28,2.96,26.7,58.0,-2.43,131.34,-52.03,23.92
22284.0,30.0,0.0,1000.0,-0.55,-0.856,-0.327,2.94,2.54,18.33,27.15,58.06,-2.39,130.12,-51.53,22.61
22334.0,30.0,0.0,1000.0,-0.462,-0.771,-0.373,-11.19,-2.13,0.79,27.19,58.08,-2.84,130.24,-51.56,23.01
22384.0,30.0,0.0,1000.0,-0.492,-0.84,-0.335,-6.33,-17.47,6.29,27.17,57.97,-2.72,130.48,-51.53,23.16
22434.0,30.0,0.0,1000.0,-0.434,-0.733,-0.437,0.63,-3.11,7.82,27.92,58.15,-3.11,130.51,-51.89,23.84
22484.0,30.0,0.0,1000.0,-0.475,-0.804,-0.414,-8.18,-24.02,-8.56,27.88,57.94,-3.38,129.87,-51.6,23.72
22534.0,30.0,0.0,1000.0,-0.486,-0.842,-0.317,-10.39,64.3,54.11,28.82,57.92,-3.54,130.09,-51.08,23.24
22584.0,30.0,0.0,1000.0,-0.503,-0.633,-0.641,13.63,109.65,94.69,26.39,56.9,-2.62,130.29,-49.06,19.9
22634.0,30.0,0.0,1000.0,-0.51,-0.759,-0.379,31.04,-22.39,-0.65,24.4,59.49,-2.55,124.05,-49.2,11.05
22684.0,30.0,0.0,1000.0,-0.543,-0.826,-0.398,-52.18,33.23,-24.19,25.27,61.15,-3.49,124.26,-49.42,11.43
22734.0,30.0,0.0,1000.0,-0.675,-1.174,-0.237,15.8,-42.24,-107.78,22.49,57.09,-1.03,132.81,-48.58,18.87
22784.0,30.0,0.0,1000.0,-0.405,-0.755,-0.509,-44.29,6.27,67.49,24.01,60.44,-2.63,133.01,-53.28,23.19
22834.0,30.0,0.0,1000.0,-0.41,-0.716,-0.457,-15.28,14.45,-2.0,24.99,59.66,-2.98,133.21,-53.01,23.77
22884.0,30.0,0.0,1000.0,-0.429,-0.81,-0.403,1.29,-3.47,26.16,24.75,59.4,-2.73,132.65,-52.5,23.16
22934.0,30.0,0.0,1000.0,-1.076,-0.318,0.911,185.25,31.92,118.1,23.15,59.74,-2.38,129.52,-52.52,15.82
22984.0,30.0,0.0,1000.0,-0.575,-0.927,-0.27,7.98,9.24,-19.35,26.16,68.95,-6.93,113.88,-55.24,1.18
23034.0,30.0,0.0,1000.0,-0.481,-0.8,-0.23,-31.07,27.23,-22.59,24.7,68.87,-6.03,117.58,-56.12,3.91
23084.0,30.0,0.0,1000.0,-0.652,-0.73,-0.228,-216.49,62.63,-41.29,22.5,65.96,-5.54,128.05,-54.44,13.82
23134.0,30.0,0.0,1000.0,-0.908,-0.066,-0.643,-72.78,-148.01,-115.18,24.89,61.54,-4.1,130.51,-55.48,24.25
23184.0,30.0,0.0,1000.0,-0.474,-0.763,-0.25,1.03,26.91,-31.59,27.96,59.5,-3.4,130.52,-53.76,24.02
23234.0,30.0,0.0,1000.0,-0.44,-0.787,-0.337,-4.81,-3.33,0.11,28.13,59.97,-3.94,129.96,-53.58,24.1
23284.0,30.0,0.0,1000.0,-0.523,-0.875,-0.452,1.19,-14.63,9.68,28.51,59.38,-3.92,128.52,-52.9,23.2
23334.0,30.0,0.0,1000.0,-0.375,-0.643,-0.358,17.07,278.04,139.21,28.24,60.47,-3.9,129.7,-52.03,19.35
23384.0,30.0,0.0,1000.0,-0.605,-0.863,-0.311,38.0,-6.03,9.83,23.47,62.73,-3.59,123.14,-51.9,8.77
23434.0,30.0,0.0,1000.0,-0.581,-0.944,-0.38,-155.37,54.94,-68.45,23.08,62.88,-3.81,126.71,-51.6,12.65
23484.0,30.0,0.0,1000.0,-0.23,-0.649,-0.551,70.51,-23.27,-60.04,24.55,60.34,-3.1,129.28,-53.57,19.98
